Timestamp,Kandydaci na Prezydenta Rzeczypospolitej Polskiej [BIEDROŃ Robert],Kandydaci na Prezydenta Rzeczypospolitej Polskiej [BOSAK Krzysztof],Kandydaci na Prezydenta Rzeczypospolitej Polskiej [DUDA Andrzej Sebastian],Kandydaci na Prezydenta Rzeczypospolitej Polskiej [HOŁOWNIA Szymon Franciszek],Kandydaci na Prezydenta Rzeczypospolitej Polskiej [JAKUBIAK Marek],Kandydaci na Prezydenta Rzeczypospolitej Polskiej [KOSINIAK-KAMYSZ Władysław Marcin],Kandydaci na Prezydenta Rzeczypospolitej Polskiej [PIOTROWSKI Mirosław Mariusz],Kandydaci na Prezydenta Rzeczypospolitej Polskiej [TANAJNO Paweł Jan],Kandydaci na Prezydenta Rzeczypospolitej Polskiej [TRZASKOWSKI Rafał Kazimierz],Kandydaci na Prezydenta Rzeczypospolitej Polskiej [WITKOWSKI Waldemar Włodzimierz],Kandydaci na Prezydenta Rzeczypospolitej Polskiej [ŻÓŁTEK Stanisław Józef],Kontrolka - zwykłe wybory
26/06/2020 19:18:07,1,11,10,2,9,5,8,6,4,3,7,
26/06/2020 19:23:31,5,,,4,,3,,,2,1,,
26/06/2020 19:28:40,,,,2,,1,,,3,,,
26/06/2020 19:31:19,3,11,10,1,9,4,8,6,5,2,7,
26/06/2020 19:31:20,,1,,,,2,,,,,3,
26/06/2020 19:32:12,5,9,10,2,,7,8,4,3,1,6,
26/06/2020 19:36:28,1,11,10,7,9,2,8,5,3,4,6,
26/06/2020 19:37:46,1,10,11,4,8,5,9,6,3,2,7,
26/06/2020 19:42:38,3,10,11,2,9,4,7,8,1,6,5,TRZASKOWSKI Rafał Kazimierz
26/06/2020 19:45:43,2,10,11,4,9,5,8,6,3,1,7,BIEDROŃ Robert
26/06/2020 19:52:15,1,,,5,,3,,,2,4,,BIEDROŃ Robert
26/06/2020 19:57:57,1,,,3,,4,,5,2,6,7,BIEDROŃ Robert
26/06/2020 19:58:04,1,,,3,,5,,,4,2,,BIEDROŃ Robert
26/06/2020 19:59:48,,,,2,,,,,,1,,TRZASKOWSKI Rafał Kazimierz
26/06/2020 20:06:21,3,,,2,,,,,1,,,TRZASKOWSKI Rafał Kazimierz
26/06/2020 20:08:05,8,1,,3,2,6,9,4,5,,7,TRZASKOWSKI Rafał Kazimierz
26/06/2020 20:10:37,1,,,3,,5,,6,2,4,,BIEDROŃ Robert
26/06/2020 20:13:08,1,,,,,,,,3,2,,BIEDROŃ Robert
26/06/2020 20:14:49,,1,,,3,,,,,,2,BOSAK Krzysztof
26/06/2020 20:19:52,1,,,4,,,,,2,3,,TRZASKOWSKI Rafał Kazimierz
26/06/2020 20:20:21,3,10,11,2,8,5,9,4,1,6,7,TRZASKOWSKI Rafał Kazimierz
26/06/2020 20:22:29,1,,,4,,3,,,2,5,,BIEDROŃ Robert
26/06/2020 20:24:09,1,,,3,,,,,2,,,BIEDROŃ Robert
26/06/2020 20:30:29,2,9,11,4,8,6,10,5,1,3,7,BIEDROŃ Robert
26/06/2020 20:33:18,2,10,6,4,11,5,7,9,3,1,8,WITKOWSKI Waldemar Włodzimierz
26/06/2020 20:35:36,5,9,11,3,10,4,8,7,1,2,6,TRZASKOWSKI Rafał Kazimierz
26/06/2020 20:35:59,3,11,10,2,9,4,6,8,1,5,7,TRZASKOWSKI Rafał Kazimierz
26/06/2020 20:37:45,11,1,9,8,3,7,4,5,10,6,2,BOSAK Krzysztof
26/06/2020 20:43:30,2,5,11,1,10,3,9,7,6,4,8,HOŁOWNIA Szymon Franciszek
26/06/2020 20:49:56,1,9,11,3,8,5,10,6,2,4,7,BIEDROŃ Robert
26/06/2020 20:52:40,1,10,11,3,6,7,8,,2,4,9,HOŁOWNIA Szymon Franciszek
26/06/2020 21:00:14,3,,,2,,4,,,1,5,,TRZASKOWSKI Rafał Kazimierz
26/06/2020 21:00:41,,4,,3,,5,,,1,6,2,TRZASKOWSKI Rafał Kazimierz
26/06/2020 21:04:12,1,11,10,4,8,5,9,6,2,3,7,BIEDROŃ Robert
26/06/2020 21:16:41,1,11,10,5,7,6,8,3,4,2,9,BIEDROŃ Robert
26/06/2020 21:32:33,4,11,8,3,10,2,9,6,1,5,7,KOSINIAK-KAMYSZ Władysław Marcin
26/06/2020 21:34:21,3,8,9,2,7,4,11,6,1,5,10,TRZASKOWSKI Rafał Kazimierz
26/06/2020 21:35:37,1,11,10,4,8,5,9,6,2,3,7,BIEDROŃ Robert
26/06/2020 21:46:10,1,,,2,,,,,3,,,BIEDROŃ Robert
26/06/2020 21:53:24,2,11,10,4,7,5,9,6,3,1,8,WITKOWSKI Waldemar Włodzimierz
26/06/2020 22:00:45,3,,,2,,4,,5,1,,,TRZASKOWSKI Rafał Kazimierz
26/06/2020 22:01:12,,2,,1,,3,,,,,4,HOŁOWNIA Szymon Franciszek
26/06/2020 22:05:38,9,,1,8,3,5,,4,7,6,2,HOŁOWNIA Szymon Franciszek
26/06/2020 22:15:47,,,,,,,,,1,,,TRZASKOWSKI Rafał Kazimierz
26/06/2020 22:18:47,3,,,2,,,,,1,,,TRZASKOWSKI Rafał Kazimierz
26/06/2020 22:30:08,,,,2,,3,,5,1,4,,TRZASKOWSKI Rafał Kazimierz
26/06/2020 22:32:19,3,,,4,,2,,,1,5,,TRZASKOWSKI Rafał Kazimierz
26/06/2020 22:38:19,,,,1,,,,,2,,3,HOŁOWNIA Szymon Franciszek
26/06/2020 22:57:15,1,11,10,4,6,5,7,8,3,2,9,BIEDROŃ Robert
26/06/2020 22:58:59,9,,,5,,,,,7,,,BIEDROŃ Robert
26/06/2020 23:12:45,1,,,4,,5,,,2,3,,TRZASKOWSKI Rafał Kazimierz
26/06/2020 23:15:34,,1,,2,,,,,,,,BOSAK Krzysztof
26/06/2020 23:18:45,3,,,2,,5,,,4,1,,HOŁOWNIA Szymon Franciszek
26/06/2020 23:27:55,2,,,,,,,,1,,,TRZASKOWSKI Rafał Kazimierz
26/06/2020 23:37:22,3,8,9,1,7,5,4,,,2,6,HOŁOWNIA Szymon Franciszek
26/06/2020 23:40:12,3,,11,4,,1,,,2,5,,KOSINIAK-KAMYSZ Władysław Marcin
26/06/2020 23:43:38,1,,,4,,,,,3,2,,WITKOWSKI Waldemar Włodzimierz
26/06/2020 23:47:57,1,9,11,3,10,6,8,7,4,2,5,HOŁOWNIA Szymon Franciszek
26/06/2020 23:50:24,1,11,10,4,9,5,8,6,3,2,7,BIEDROŃ Robert
26/06/2020 23:50:28,3,11,10,2,,4,,,1,,,TRZASKOWSKI Rafał Kazimierz
26/06/2020 23:51:31,3,,,2,,5,,,1,4,,TRZASKOWSKI Rafał Kazimierz
26/06/2020 23:52:16,2,,,,,,,,4,,1,BIEDROŃ Robert
26/06/2020 23:54:31,1,9,11,4,8,6,10,3,5,2,7,TANAJNO Paweł Jan
26/06/2020 23:55:54,10,9,11,1,7,6,8,5,2,3,4,HOŁOWNIA Szymon Franciszek
27/06/2020 00:03:06,1,11,10,9,6,3,5,7,2,4,8,BIEDROŃ Robert
27/06/2020 00:07:55,3,11,10,4,9,5,7,6,2,1,8,TRZASKOWSKI Rafał Kazimierz
27/06/2020 00:13:52,5,6,,4,,,,,1,3,2,TRZASKOWSKI Rafał Kazimierz
27/06/2020 00:16:24,2,7,8,4,9,3,11,6,1,5,10,TRZASKOWSKI Rafał Kazimierz
27/06/2020 00:19:41,1,,,3,,5,,6,4,2,,BIEDROŃ Robert
27/06/2020 00:21:35,11,1,6,8,3,4,5,7,9,10,2,BOSAK Krzysztof
27/06/2020 01:12:45,3,,,,,2,,,1,,,TRZASKOWSKI Rafał Kazimierz
27/06/2020 01:13:04,1,8,11,3,7,4,9,6,2,5,10,TRZASKOWSKI Rafał Kazimierz
27/06/2020 07:44:06,,,,1,,2,,4,3,,,HOŁOWNIA Szymon Franciszek
27/06/2020 07:54:42,1,,,3,,,,,2,,,BIEDROŃ Robert
27/06/2020 08:46:33,2,11,10,4,9,8,7,6,3,5,1,TRZASKOWSKI Rafał Kazimierz
27/06/2020 08:59:39,1,,,3,,,,,4,2,,BIEDROŃ Robert
27/06/2020 09:51:57,3,,,1,,5,,,2,4,,HOŁOWNIA Szymon Franciszek
27/06/2020 11:51:39,2,,,3,,4,,,1,,,TRZASKOWSKI Rafał Kazimierz
27/06/2020 11:57:07,1,,,3,,,,,2,,,BIEDROŃ Robert
27/06/2020 11:58:18,11,2,9,1,5,3,8,7,10,6,4,HOŁOWNIA Szymon Franciszek
27/06/2020 11:59:46,1,,,4,,5,,,2,3,,BIEDROŃ Robert
27/06/2020 12:13:46,3,6,11,1,8,4,10,7,2,5,9,HOŁOWNIA Szymon Franciszek
27/06/2020 12:38:14,3,4,,,5,,,6,7,2,1,TRZASKOWSKI Rafał Kazimierz
27/06/2020 14:01:09,1,,,4,,5,,,2,3,,BIEDROŃ Robert
27/06/2020 14:45:20,1,,,2,,3,,,5,4,,BIEDROŃ Robert
27/06/2020 15:07:42,1,,,3,,,,,2,4,,BIEDROŃ Robert
27/06/2020 15:24:08,9,1,4,5,6,2,,7,8,,3,BOSAK Krzysztof
27/06/2020 15:28:42,,,,1,,3,,,,2,,HOŁOWNIA Szymon Franciszek
27/06/2020 15:29:51,1,10,11,3,,4,7,5,2,6,9,BIEDROŃ Robert
27/06/2020 16:12:04,11,,10,1,9,7,6,2,8,5,4,ŻÓŁTEK Stanisław Józef
27/06/2020 17:18:51,2,,,1,,,,,3,,,HOŁOWNIA Szymon Franciszek
27/06/2020 18:10:55,2,,,3,,,,,1,,,TRZASKOWSKI Rafał Kazimierz
27/06/2020 18:19:23,2,,,,,4,,5,1,3,6,TRZASKOWSKI Rafał Kazimierz
27/06/2020 18:34:29,4,,,2,,3,,,1,5,,TRZASKOWSKI Rafał Kazimierz
27/06/2020 19:48:48,,3,,1,,4,,,2,,,HOŁOWNIA Szymon Franciszek
27/06/2020 20:26:22,2,3,8,1,9,7,10,6,4,5,11,HOŁOWNIA Szymon Franciszek
27/06/2020 21:01:31,1,10,11,9,8,7,6,5,3,2,4,BIEDROŃ Robert
27/06/2020 21:30:04,2,6,11,4,10,3,9,7,1,5,8,TRZASKOWSKI Rafał Kazimierz
27/06/2020 21:50:12,1,10,11,2,9,5,8,6,3,4,7,BIEDROŃ Robert
27/06/2020 22:20:54,1,,,4,,5,,6,2,3,,BIEDROŃ Robert
27/06/2020 22:32:35,2,11,7,4,10,8,9,5,3,1,6,BIEDROŃ Robert
27/06/2020 22:38:50,1,,,3,,,,,,2,,BIEDROŃ Robert
27/06/2020 22:46:22,1,,,2,,9,,,3,10,11,BIEDROŃ Robert
27/06/2020 22:53:56,1,,,,,,,,2,,,BIEDROŃ Robert
27/06/2020 23:32:12,2,,,3,,,,,1,,,TRZASKOWSKI Rafał Kazimierz
27/06/2020 23:32:21,2,,,3,,,,,1,,,TRZASKOWSKI Rafał Kazimierz
27/06/2020 23:41:44,3,,,2,,4,,,1,,,TRZASKOWSKI Rafał Kazimierz
27/06/2020 23:45:27,1,,,2,,,,,3,,,BIEDROŃ Robert
27/06/2020 23:46:00,1,,,3,,4,,,2,5,6,BIEDROŃ Robert
27/06/2020 23:57:38,2,10,6,3,8,4,7,9,5,1,11,WITKOWSKI Waldemar Włodzimierz
28/06/2020 00:29:29,3,10,11,2,8,5,6,7,1,4,9,TRZASKOWSKI Rafał Kazimierz
28/06/2020 00:35:11,2,,,3,,,,,1,,,TRZASKOWSKI Rafał Kazimierz
28/06/2020 00:48:39,2,8,11,3,9,5,10,6,1,4,7,TRZASKOWSKI Rafał Kazimierz
28/06/2020 00:51:29,6,,,1,,4,,3,2,5,,HOŁOWNIA Szymon Franciszek
28/06/2020 01:20:08,2,10,11,1,,,,3,5,,4,HOŁOWNIA Szymon Franciszek
28/06/2020 01:28:43,1,10,11,5,9,2,7,6,3,4,8,BIEDROŃ Robert
28/06/2020 01:29:43,1,,,9,,5,,,2,,,BIEDROŃ Robert
28/06/2020 01:56:11,4,,,2,,3,,,1,,,TRZASKOWSKI Rafał Kazimierz
28/06/2020 01:56:37,,,,,,,,,,,,TRZASKOWSKI Rafał Kazimierz
28/06/2020 01:57:45,1,,,,,,,,2,,,BIEDROŃ Robert
28/06/2020 02:34:09,1,,,,,,,,2,,,BIEDROŃ Robert
28/06/2020 02:39:16,3,11,8,5,10,4,7,6,2,1,9,WITKOWSKI Waldemar Włodzimierz
28/06/2020 02:41:36,3,2,,1,,,,,4,,,HOŁOWNIA Szymon Franciszek
28/06/2020 03:04:22,1,11,10,3,4,8,5,6,2,7,9,TRZASKOWSKI Rafał Kazimierz
28/06/2020 03:16:38,1,6,11,4,10,3,9,5,2,7,8,BIEDROŃ Robert
28/06/2020 03:31:38,2,10,11,4,6,5,7,8,1,3,9,TRZASKOWSKI Rafał Kazimierz
28/06/2020 06:32:35,,4,,2,,,,,3,,1,ŻÓŁTEK Stanisław Józef
28/06/2020 07:00:36,6,8,11,1,9,2,4,7,5,3,10,HOŁOWNIA Szymon Franciszek
28/06/2020 07:16:59,5,,,2,,1,,,3,4,,KOSINIAK-KAMYSZ Władysław Marcin
28/06/2020 07:24:39,2,,,3,,,,,1,,,TRZASKOWSKI Rafał Kazimierz
28/06/2020 07:29:07,,1,,3,,,,,,,2,BOSAK Krzysztof
28/06/2020 07:34:10,3,,,2,,,,,1,,,TRZASKOWSKI Rafał Kazimierz
28/06/2020 07:47:26,2,10,11,1,9,3,8,7,4,5,6,HOŁOWNIA Szymon Franciszek
28/06/2020 07:53:44,4,,,3,,5,,6,2,1,7,HOŁOWNIA Szymon Franciszek
28/06/2020 08:07:42,7,10,11,1,8,3,9,5,2,6,4,HOŁOWNIA Szymon Franciszek
28/06/2020 08:09:35,2,,,,,,,,1,,,TRZASKOWSKI Rafał Kazimierz
28/06/2020 08:34:44,,2,,1,,,,,,,,HOŁOWNIA Szymon Franciszek
28/06/2020 08:37:15,5,6,4,7,2,10,8,,11,,1,TRZASKOWSKI Rafał Kazimierz
28/06/2020 08:42:13,1,8,7,4,11,5,9,6,3,2,10,BIEDROŃ Robert
28/06/2020 08:42:59,,,,4,,3,,,1,2,,TRZASKOWSKI Rafał Kazimierz
28/06/2020 08:47:59,,2,,,,,,,1,,,TRZASKOWSKI Rafał Kazimierz
28/06/2020 08:51:31,1,,,4,,5,,,2,3,,BIEDROŃ Robert
28/06/2020 08:59:11,2,7,8,3,9,5,11,6,1,4,10,TRZASKOWSKI Rafał Kazimierz
28/06/2020 08:59:48,,11,10,5,8,4,7,6,3,2,9,BIEDROŃ Robert
28/06/2020 09:05:35,1,9,6,5,7,4,8,10,3,2,11,BIEDROŃ Robert
28/06/2020 09:06:02,,,,,,,,,,,,TRZASKOWSKI Rafał Kazimierz
28/06/2020 09:13:20,,,,2,,3,,,1,,,TRZASKOWSKI Rafał Kazimierz
28/06/2020 09:21:37,1,,,,,,,,2,3,,TRZASKOWSKI Rafał Kazimierz
28/06/2020 09:26:52,2,9,5,6,,4,,7,3,1,8,WITKOWSKI Waldemar Włodzimierz
28/06/2020 09:29:24,2,,1,3,,,,,4,,,TRZASKOWSKI Rafał Kazimierz
28/06/2020 09:30:02,4,,,3,,5,,,2,1,,WITKOWSKI Waldemar Włodzimierz
28/06/2020 09:33:04,,2,,1,,,,3,,,,HOŁOWNIA Szymon Franciszek
28/06/2020 09:35:05,,2,,1,,3,,,,,,HOŁOWNIA Szymon Franciszek
28/06/2020 09:36:25,5,6,11,1,7,3,9,10,2,8,4,HOŁOWNIA Szymon Franciszek
28/06/2020 09:46:14,,1,,,,,,,,,,BOSAK Krzysztof
28/06/2020 09:49:24,2,,,1,,,,,3,,,TRZASKOWSKI Rafał Kazimierz
28/06/2020 09:52:39,3,,,1,,,,,2,,,HOŁOWNIA Szymon Franciszek
28/06/2020 09:54:29,3,,,1,,,,,2,,,HOŁOWNIA Szymon Franciszek
28/06/2020 10:15:48,2,,,3,,,,,1,,,TRZASKOWSKI Rafał Kazimierz
28/06/2020 10:36:09,4,6,11,3,9,5,10,7,1,2,8,TRZASKOWSKI Rafał Kazimierz
28/06/2020 10:36:39,2,,,3,,,,,1,,,TRZASKOWSKI Rafał Kazimierz
28/06/2020 10:37:41,,,,,,,,,,,,
28/06/2020 10:43:09,1,,,3,,4,,,2,,,TRZASKOWSKI Rafał Kazimierz
28/06/2020 10:47:05,11,1,10,6,7,8,3,4,9,5,2,BOSAK Krzysztof
28/06/2020 10:49:10,3,,,2,,4,,,1,,,TRZASKOWSKI Rafał Kazimierz
28/06/2020 10:51:15,1,,,2,,,,,3,,,BIEDROŃ Robert
28/06/2020 10:52:10,3,,,2,,4,,,1,,,TRZASKOWSKI Rafał Kazimierz
28/06/2020 10:55:15,3,,,4,,6,,7,1,2,5,TRZASKOWSKI Rafał Kazimierz
28/06/2020 10:57:07,1,,,3,,4,,,2,,,TRZASKOWSKI Rafał Kazimierz
28/06/2020 10:57:50,8,2,,4,,7,1,6,9,3,5,TRZASKOWSKI Rafał Kazimierz
28/06/2020 11:01:32,3,,,,,2,,,1,,,TRZASKOWSKI Rafał Kazimierz
28/06/2020 11:06:45,3,10,11,2,7,4,9,6,1,5,8,TRZASKOWSKI Rafał Kazimierz
28/06/2020 11:08:27,4,,,,,,,,1,,,TRZASKOWSKI Rafał Kazimierz
28/06/2020 11:10:57,1,,,4,,,,,3,2,,TRZASKOWSKI Rafał Kazimierz
28/06/2020 11:13:39,1,,,2,,4,,,3,,,HOŁOWNIA Szymon Franciszek
28/06/2020 11:16:25,,,,3,,1,,,2,,,KOSINIAK-KAMYSZ Władysław Marcin
28/06/2020 11:25:56,2,4,,1,,,,,3,,,HOŁOWNIA Szymon Franciszek
28/06/2020 11:26:59,,,,,,,,,,,,
28/06/2020 11:27:31,1,,,3,,,,,2,,,BIEDROŃ Robert
28/06/2020 11:29:41,2,1,,,,,,,,,,BIEDROŃ Robert
28/06/2020 11:29:43,1,10,11,4,8,2,6,5,3,7,9,BIEDROŃ Robert
28/06/2020 11:30:34,,1,,2,,3,,,5,,4,BOSAK Krzysztof
28/06/2020 11:35:01,5,1,11,2,6,3,7,8,4,9,10,BOSAK Krzysztof
28/06/2020 11:36:31,6,1,7,2,5,4,9,10,3,11,8,BOSAK Krzysztof
28/06/2020 11:40:17,2,9,1,8,7,3,4,10,5,6,11,ŻÓŁTEK Stanisław Józef
28/06/2020 11:46:55,2,10,11,3,,,,,1,,,TRZASKOWSKI Rafał Kazimierz
28/06/2020 11:49:31,2,,,3,,,,,1,,,TRZASKOWSKI Rafał Kazimierz
28/06/2020 12:00:15,1,,,2,,4,,,3,5,,BIEDROŃ Robert
28/06/2020 12:05:42,1,10,11,2,3,,6,7,5,8,4,BIEDROŃ Robert
28/06/2020 12:08:04,3,8,7,1,10,4,11,5,6,2,9,HOŁOWNIA Szymon Franciszek
28/06/2020 12:13:02,1,11,10,9,,3,,,2,,,BIEDROŃ Robert
28/06/2020 12:17:17,4,6,11,2,7,3,,8,1,10,9,HOŁOWNIA Szymon Franciszek
28/06/2020 12:18:47,1,,,3,,,,,2,,,TRZASKOWSKI Rafał Kazimierz
28/06/2020 12:23:40,3,,,1,,,,,2,,,HOŁOWNIA Szymon Franciszek
28/06/2020 12:24:48,1,11,8,3,10,5,7,6,4,2,9,BIEDROŃ Robert
28/06/2020 12:27:22,5,,,1,,3,,,2,4,,HOŁOWNIA Szymon Franciszek
28/06/2020 12:30:06,2,,,,,,,,1,,,TRZASKOWSKI Rafał Kazimierz
28/06/2020 12:31:42,3,,,1,,4,,,2,,,HOŁOWNIA Szymon Franciszek
28/06/2020 12:31:59,1,11,10,2,7,4,9,6,3,5,8,BIEDROŃ Robert
28/06/2020 12:35:51,,2,,1,,,,,3,,,HOŁOWNIA Szymon Franciszek
28/06/2020 12:38:33,2,11,10,4,8,5,9,6,3,1,7,WITKOWSKI Waldemar Włodzimierz
28/06/2020 12:39:02,3,5,11,2,10,6,7,8,1,4,9,TRZASKOWSKI Rafał Kazimierz
28/06/2020 12:39:20,2,,,4,,,,3,1,,,TRZASKOWSKI Rafał Kazimierz
28/06/2020 12:40:51,,2,,1,,,,,,,,HOŁOWNIA Szymon Franciszek
28/06/2020 12:44:03,1,,,3,,,,,,2,,BIEDROŃ Robert
28/06/2020 12:45:30,,,,,,,,,,,,TRZASKOWSKI Rafał Kazimierz
28/06/2020 12:48:27,2,,,4,,,,,3,,1,TRZASKOWSKI Rafał Kazimierz
28/06/2020 13:04:27,,1,2,,,,,,3,,,BOSAK Krzysztof
28/06/2020 13:05:02,,1,,3,,,,,,,2,BOSAK Krzysztof
28/06/2020 13:07:55,3,,,2,,5,6,4,1,7,8,TRZASKOWSKI Rafał Kazimierz
28/06/2020 13:14:36,2,,,4,,3,,5,1,,,TRZASKOWSKI Rafał Kazimierz
28/06/2020 13:17:49,6,1,,2,,,,5,3,,4,BOSAK Krzysztof
28/06/2020 13:24:51,3,6,11,2,,4,7,5,1,8,9,TRZASKOWSKI Rafał Kazimierz
28/06/2020 13:29:45,1,2,11,,,,,,,,,BIEDROŃ Robert
28/06/2020 13:30:57,3,11,10,4,8,5,9,6,1,2,7,TRZASKOWSKI Rafał Kazimierz
28/06/2020 13:41:36,,,,2,,1,,,,3,,KOSINIAK-KAMYSZ Władysław Marcin
28/06/2020 14:05:25,1,,,,,,,,2,,,BIEDROŃ Robert
28/06/2020 14:18:24,,1,,2,,3,,,,,4,BOSAK Krzysztof
28/06/2020 14:42:17,3,,,1,,,,,2,,,HOŁOWNIA Szymon Franciszek
28/06/2020 14:45:16,2,8,11,3,6,5,7,9,4,1,10,WITKOWSKI Waldemar Włodzimierz
28/06/2020 14:48:40,5,,,3,,4,,,2,1,,WITKOWSKI Waldemar Włodzimierz
28/06/2020 14:51:13,2,,,3,,,,,1,,,TRZASKOWSKI Rafał Kazimierz
28/06/2020 14:51:34,1,,,3,,,,,2,,,TRZASKOWSKI Rafał Kazimierz
28/06/2020 15:01:37,2,11,10,3,9,5,7,6,1,4,8,TRZASKOWSKI Rafał Kazimierz
28/06/2020 15:07:31,3,9,11,1,10,5,8,6,2,4,7,HOŁOWNIA Szymon Franciszek
28/06/2020 15:08:57,2,,,4,,3,,,1,,,TRZASKOWSKI Rafał Kazimierz
28/06/2020 15:11:34,2,5,,,3,,,,1,,4,TRZASKOWSKI Rafał Kazimierz
28/06/2020 15:12:19,3,11,10,2,,4,,,1,5,,TRZASKOWSKI Rafał Kazimierz
28/06/2020 15:21:01,1,,,,,,,,2,3,,BIEDROŃ Robert
28/06/2020 15:34:06,1,11,9,2,6,5,10,7,4,3,8,BIEDROŃ Robert
28/06/2020 16:02:09,8,1,11,2,7,5,10,3,6,9,4,BOSAK Krzysztof
28/06/2020 16:05:34,,,,1,,3,,,2,,,HOŁOWNIA Szymon Franciszek
28/06/2020 16:12:56,,,3,1,,,,,2,,,TRZASKOWSKI Rafał Kazimierz
28/06/2020 16:21:55,2,,,1,,4,,,3,,,HOŁOWNIA Szymon Franciszek
28/06/2020 16:26:04,2,,,3,,4,,,1,,,TRZASKOWSKI Rafał Kazimierz
28/06/2020 16:35:33,,2,7,3,6,8,10,4,9,5,1,BOSAK Krzysztof
28/06/2020 16:55:09,5,6,8,4,10,1,11,2,7,9,3,KOSINIAK-KAMYSZ Władysław Marcin
28/06/2020 17:06:42,2,,,1,,,,,3,,,HOŁOWNIA Szymon Franciszek
28/06/2020 17:08:03,1,,,,,,,,2,3,,BIEDROŃ Robert
28/06/2020 17:08:21,,,,,,,,,,,,DUDA Andrzej Sebastian
28/06/2020 17:14:22,4,8,11,2,9,6,10,3,1,7,5,TRZASKOWSKI Rafał Kazimierz
28/06/2020 17:17:57,,1,,2,,,,,,,,BOSAK Krzysztof
28/06/2020 18:05:10,,,,,,,,,,,,
28/06/2020 18:14:47,3,,,1,,,,,2,,,HOŁOWNIA Szymon Franciszek
28/06/2020 18:15:47,3,,,2,,4,,,1,,,TRZASKOWSKI Rafał Kazimierz
28/06/2020 18:24:15,3,7,11,1,8,5,9,6,2,4,10,HOŁOWNIA Szymon Franciszek
28/06/2020 18:32:48,1,,,3,,,,4,2,,,TRZASKOWSKI Rafał Kazimierz
28/06/2020 18:33:57,5,6,9,1,10,4,11,8,2,3,7,HOŁOWNIA Szymon Franciszek
28/06/2020 18:36:21,2,,,3,,,,,,1,,BIEDROŃ Robert
28/06/2020 19:00:01,,,,2,,4,,,1,3,,TRZASKOWSKI Rafał Kazimierz
28/06/2020 19:14:11,9,1,2,10,,,,,11,,,TRZASKOWSKI Rafał Kazimierz
28/06/2020 19:50:48,2,10,11,6,7,9,8,5,3,1,4,BIEDROŃ Robert
28/06/2020 20:28:03,4,,,3,,,,,2,,,HOŁOWNIA Szymon Franciszek